-3,0,-4,-8,-9,-8,-2,-1
-1,5,3,3,6,6,0,2
0,-5,-12,-3,5,2,2,1
-2,-2,3,3,-4,-3,-4,-2
-1,0,14,7,-3,-3,-3,-2
-1,-2,-33,-1,-9,-5,-2,0
-1,-1,-10,-4,5,3,0,0
-2,2,11,3,-4,-2,2,-1
0,-2,-5,-2,-3,-1,-4,-2
-2,-1,8,-9,-1,1,0,-2
-3,-2,16,23,4,-2,-1,-1
-1,0,11,-3,-1,2,-2,-1
-2,1,-2,-9,-7,-6,-3,-3
-3,-1,-4,3,0,0,-1,0
-2,-3,-14,2,8,0,-3,-1
3,0,4,2,6,0,4,2
-2,3,2,-1,-4,-4,-7,-5
-4,-7,-5,-4,-7,-1,2,-5
1,1,7,7,-6,0,-3,0
0,-3,-12,-3,5,2,-1,1
0,-2,5,-4,-5,-3,-4,0
4,4,14,-1,-1,-3,0,0
-1,-5,-35,-12,-1,-3,-2,-2
0,2,28,11,1,-4,-3,-3
-2,-1,7,0,1,-3,-4,-5
-3,-1,-1,4,-5,-2,0,2
1,-5,-3,-3,0,1,1,-2
-2,-3,3,2,4,2,-1,-1
5,0,13,1,0,-1,-1,-1
-4,-6,-30,-8,-9,-3,-1,-2
-3,-4,0,-1,2,3,-4,0
-2,-3,42,3,-6,-3,-2,-1
0,-1,-46,-4,0,-1,-4,-2
0,-1,42,5,-1,-1,-3,-3
-1,-3,-57,-15,-1,-2,1,-6
0,-2,14,-12,-10,-5,5,3
-2,-5,2,14,5,-3,-5,-3
0,1,26,7,4,4,5,3
2,-1,-1,-1,2,1,1,-1
2,7,-1,-10,-5,-5,-3,2
0,1,13,9,3,-5,-1,-2
-2,-4,5,-3,6,6,3,3
2,-3,15,-1,-4,-6,-1,-2
2,1,8,-5,-3,-5,-2,0
0,-4,-21,-3,0,-2,-1,-3
-1,-2,-28,5,4,2,0,0
0,-1,5,-2,-3,-5,-4,-4
-4,0,-17,-14,-7,0,-3,-1
1,1,22,5,3,-3,-1,-1
-1,3,-50,-7,-4,2,2,2
-1,-1,12,7,-1,-3,-2,-1
1,2,-3,-7,0,-4,2,1
1,1,-1,10,-3,-1,-1,3
-1,-1,-12,-3,-1,-4,-1,-4
-2,-1,1,0,-2,-1,-4,-5
-5,-3,2,0,-2,-3,-3,-2
0,0,0,3,0,4,-1,-1
-3,-1,-5,-5,-6,-4,-2,-2
-2,-2,6,10,4,5,2,-2
-2,0,-6,-5,2,1,-1,-4
-2,0,3,5,5,-2,0,-4
-1,0,-7,-7,-2,-4,-1,0
1,0,-3,-7,-6,-4,-3,0
-1,0,5,7,-4,-4,-5,-3
-1,4,13,2,16,4,1,0
1,0,-3,-5,4,7,4,1
-1,-3,-5,-9,-4,-5,0,-1
-1,2,8,1,-8,-10,-5,-1
1,0,-7,-17,3,1,0,1
0,2,-3,-3,-9,-6,0,-2
1,-1,-9,10,-2,-3,-1,1
-3,0,15,-3,-4,-4,-1,1
0,0,3,2,-4,0,-3,-1
1,2,-3,0,-3,3,1,-1
-2,1,-2,1,4,-2,-4,-4
1,-4,-2,-4,-2,-1,-1,0
-2,-1,0,2,-5,-3,3,0
0,-1,-5,-5,6,4,3,3
-2,-5,2,4,2,3,1,0
-1,-4,-1,-5,-10,-6,-4,3
-3,-3,-1,2,-1,-1,0,-1
-1,-2,-1,0,-3,-1,1,-3
1,-4,-4,-3,-3,-3,-4,-2
-1,-1,-5,-5,-3,-1,-1,-1
0,-4,7,4,-5,-1,2,-1
-2,2,0,-4,-5,-5,0,-3
0,-6,-1,-5,-1,1,1,-1
1,0,1,5,8,3,2,3
2,3,4,-3,-8,0,-4,-3
-1,0,4,6,5,2,-1,1
-1,1,7,-8,-9,-6,-1,-1
-2,-5,-4,6,8,-1,-1,0
0,0,17,-1,-9,-2,1,-3
0,1,-19,-9,1,3,1,-1
0,3,22,18,5,-3,1,-3
0,-1,-4,-17,-13,-7,-3,-1
0,-2,-5,4,21,3,0,0
-1,-3,-10,-5,4,2,-4,0
0,1,-1,-1,-6,-2,-3,1
-2,0,1,-8,-10,-2,-6,-6
0,2,4,3,6,0,0,-2
-2,-1,-4,6,12,-3,0,0
3,-2,3,-3,-5,-3,-4,-1
-10,2,5,-1,2,-1,0,3
6,-2,9,-1,-5,0,-1,-3
1,-6,-14,2,4,4,1,-1
-2,1,4,0,1,-1,-3,-2
-2,-5,-15,-11,-9,-6,-5,3
-2,0,4,6,5,-2,0,-2
-2,2,4,-5,-6,-1,-2,1
-3,-1,-17,-5,-1,3,-2,-3
1,-3,10,4,-4,-2,-2,-3
-1,3,2,-3,6,0,1,0
-1,0,3,-1,-2,0,-1,-3
-1,-6,-20,-9,-7,-3,-1,-1
3,1,-15,-7,1,-1,-1,0
-1,-1,4,3,-10,-4,-2,-2
1,0,-2,-2,1,-1,-2,0
