-4,-4,5,0,-27,-9,-6,1
-2,-4,-2,3,10,-11,-1,1
3,1,10,9,40,21,5,-2
4,8,2,-10,-25,0,-1,-3
-4,-3,8,7,-14,-13,-7,2
2,-1,-4,5,-3,4,2,2
1,1,-9,-7,1,-4,3,0
-2,2,27,-6,1,-3,0,-4
-3,-3,10,4,-16,-8,-6,1
-3,-6,-17,1,7,4,2,0
2,1,2,-5,-7,-1,2,-4
2,3,-9,-21,-45,-19,-7,-4
-6,-4,8,5,-20,-17,-6,4
-3,2,10,42,127,56,2,2
1,2,-6,2,-30,12,3,1
2,2,-1,-18,-36,-22,-1,-3
-5,-6,-1,-6,-31,-17,-7,-1
-7,-7,-1,-3,-15,-12,-1,-2
0,2,12,-4,-3,-3,0,-1
1,5,2,-2,6,2,2,-3
-7,-8,-27,2,-7,0,-9,-1
-2,-6,6,7,-10,-1,0,1
3,3,5,4,24,1,4,-1
1,9,10,-3,10,9,0,-5
-6,-10,-1,-1,-16,-7,-8,0
-3,-2,1,6,-7,-9,-4,-1
-1,-1,6,-1,5,1,-1,-3
-3,1,-2,-5,1,3,2,-1
-3,-2,-8,2,-8,-6,-6,0
-5,-5,22,2,-7,-2,-2,-1
1,2,5,5,2,1,-2,-3
0,2,-7,-10,4,-2,-4,-7
-5,-3,12,6,-11,-4,-4,3
-4,-5,3,4,-2,-3,0,0
0,-1,1,2,13,2,2,-3
3,4,1,-12,-9,-2,0,-1
-7,-7,-4,1,-20,-8,-10,2
-2,-4,2,4,23,-5,0,-2
4,4,5,13,39,31,6,1
4,2,0,-15,-31,-1,0,2
-7,-8,-5,11,-5,-14,-9,3
-1,-5,1,-6,-17,-7,-2,-3
0,-2,-1,-7,-4,-9,-2,-5
2,2,-8,-10,2,-3,-1,-3
-5,-6,1,9,-4,-2,-6,2
-4,-1,-5,3,5,3,4,-6
0,-3,3,-6,-3,1,-2,-5
0,3,-3,-6,13,-4,-4,-3
-6,-2,-1,4,-13,-4,-5,0
-3,-2,6,3,-3,-2,-2,1
1,-3,-11,-9,-22,-10,-5,-4
1,5,6,4,45,10,2,-1
-5,-3,4,5,-22,3,-3,6
