-3,-6,-5,-4,-4,-3,-1,-2
0,1,1,1,3,7,2,1
-4,-1,-2,1,-1,0,-5,-4
-1,-3,0,-3,-5,-6,-1,-2
-4,-3,-1,0,-1,0,-3,-1
1,2,1,1,9,8,4,-4
1,0,1,-1,-5,-4,-2,-2
-1,-4,-1,0,0,-2,2,-2
-2,-3,-2,-1,2,2,1,0
-1,2,1,-6,0,-1,0,-8
-3,0,-2,-5,-5,-6,-5,-5
1,-8,-3,0,-10,-5,-4,1
1,2,0,2,-5,-4,-1,0
0,-6,-1,2,-4,-3,3,-1
-1,2,2,5,7,5,-2,0
-3,-10,-7,3,-4,-2,0,-1
-3,-6,-4,-3,2,0,0,-3
-3,-8,-1,0,2,-1,0,-3
1,3,-3,-6,-1,-6,-2,-7
-1,-8,-1,-1,-7,-6,-4,-3
-3,1,4,2,2,-1,-3,-3
-3,-2,0,-1,3,-1,-1,-5
-1,5,2,-4,3,5,1,-1
2,3,-5,-1,-3,0,-5,-4
1,0,-6,-4,-5,-7,-3,-3
-1,7,3,2,5,-1,-2,-8
1,1,-1,6,2,4,-1,0
-1,0,1,3,10,8,0,0
-2,-4,-4,-4,-3,-1,-4,-1
1,6,1,-4,6,-6,-5,-10
-2,3,-1,-1,2,0,0,-1
-3,6,6,3,8,5,2,-3
1,0,-1,-4,-4,-1,-1,0
-3,8,2,-2,5,-7,-8,-9
-1,2,0,1,0,-4,-2,-2
0,3,0,-7,2,0,2,-4
2,-4,-2,-1,5,2,2,1
7,15,7,3,10,2,-2,-9
2,2,0,-1,1,-3,-2,1
1,2,0,-4,6,2,-2,-5
1,-5,-3,2,2,-2,2,0
-3,10,1,-3,2,-3,-3,-9
-7,-3,-2,-2,5,2,2,5
-5,3,0,2,11,8,-1,-4
2,3,3,-7,-8,1,1,5
-6,8,3,-3,13,-4,-3,-13
3,-1,-2,-3,-7,0,0,3
-3,3,-4,-9,-2,-6,-4,-5
0,-6,0,8,-3,4,3,10
-1,7,1,-6,6,3,-2,-7
6,-7,-5,-3,-8,-3,1,7
-3,0,-4,2,-2,-1,-2,-4
0,-3,-4,-11,-5,-3,2,4
1,0,4,1,5,5,0,1
-3,3,-2,2,0,0,-2,-3
-1,-2,2,3,4,8,4,3
3,-4,-8,-10,-10,-3,-2,2
-3,5,0,-1,-4,-6,-5,-4
-2,5,0,4,2,-4,-5,-8
4,-6,-2,-2,-3,0,-3,1
1,-5,-5,-3,-6,-4,2,2
-3,6,1,1,8,4,-1,0
-1,-2,3,0,7,10,5,-4
-1,-3,-2,1,-8,-4,-3,2
0,-4,2,-2,-4,-8,-4,-3
-2,4,-2,-3,0,-3,-3,-2
-1,5,-3,0,-7,-6,-4,-8
-1,-3,-4,5,0,-2,2,1
2,-8,-1,-5,-1,5,2,5
-2,4,2,-3,-3,-2,-5,-4
-2,0,1,-4,3,-1,0,-2
-1,-7,-1,-2,-8,-4,-2,4
-1,-3,-3,-1,-4,1,1,4
-1,5,-2,-1,-2,-4,-3,-5
-2,3,2,2,5,4,3,0
1,-4,-1,0,1,-1,0,3
-1,-10,-6,-3,-2,-7,-4,-1
0,1,-5,-1,2,5,-1,-2
1,1,1,1,-4,2,-1,1
-2,-1,0,1,-4,-6,-2,-2
2,-2,0,2,2,2,0,0
1,1,1,3,-2,-7,-1,-6
-1,1,0,-7,2,3,0,0
1,-5,0,2,-4,-2,-5,0
-4,-5,0,-3,-6,5,0,0
-1,5,4,1,6,0,-5,-3
-2,-4,-6,-2,-8,-5,-1,0
-2,-12,-2,-1,4,0,-1,2
-2,-3,-2,-4,-2,-2,6,3
-1,4,4,-4,-1,-1,0,-4
-4,0,-1,3,4,2,0,-1
0,-9,-5,0,-4,-2,-2,3
0,-10,-3,-6,-8,-7,-4,-2
-3,-1,1,-1,0,1,-1,1
-2,2,1,0,3,-1,-1,-2
2,-3,-4,0,-1,-3,-5,1
-3,-2,-3,-5,-5,-6,0,-1
0,-2,-1,2,3,-4,-4,-6
-1,1,-3,1,4,3,2,-3
1,-6,-1,0,-8,-5,-1,0
-5,-4,-3,-4,-3,-7,-5,-3
-2,2,4,5,6,6,-1,-3
0,2,-5,-10,-7,0,0,-4
-2,-5,-2,-3,-5,-5,-5,0
-2,-3,-1,2,2,2,4,-1
-3,0,3,2,6,7,0,2
1,1,-2,-6,-7,-3,-5,-3
1,-3,-3,1,-8,-6,-4,1
-2,-5,-8,-9,-14,-8,-3,1
-1,4,3,5,5,6,3,2
-1,0,1,1,2,1,-1,0
0,-6,-4,-3,-9,-1,-1,5
-3,-5,4,0,1,-1,0,-1
-3,0,3,0,-6,-4,-3,-2
-1,4,0,-4,0,-6,-5,-4
-1,-6,-1,0,-2,2,1,2
-1,-4,-2,3,5,5,0,2
-3,0,-3,1,-3,4,-2,-1
-1,2,-4,-4,-3,-8,-8,-4
0,-5,4,8,-2,2,2,3
0,-5,-3,-6,-6,-8,-1,1
2,-1,0,-3,2,-2,0,-6
-1,3,1,-4,0,1,-2,-5
-4,-5,-3,0,-4,-3,-5,2
0,-3,-7,-2,-4,-6,-2,1
-1,2,-4,-4,1,0,-3,-1
0,4,0,5,7,4,4,0
-1,-5,-3,-5,-8,-1,2,5
-1,-5,1,1,1,-2,-5,1
1,7,4,2,8,4,4,-1
1,3,0,-1,-3,-3,-3,-2
1,-6,-3,-2,-4,-2,-6,1
0,-1,-1,-5,-4,-3,-1,0
-1,4,-1,-1,0,0,0,-3
-5,0,-3,-2,-3,1,-1,-4
-1,-4,-3,1,-1,-3,-4,3
-2,-1,1,0,0,5,2,1
0,1,0,-1,0,0,-4,-1
2,2,2,-1,-2,-4,-1,-3
0,-2,1,2,-7,-2,3,2
1,-2,-2,-2,6,2,0,2
-1,3,8,8,0,4,4,-1
0,0,1,-9,-3,-1,-5,-5
4,0,4,7,-6,-3,-2,7
-11,-11,-9,-11,-1,3,-1,-2
2,4,2,-2,0,-1,-1,-3
-7,9,18,21,8,6,2,-7
13,-2,8,3,-3,-6,0,11
-2,-15,-10,-24,-19,-12,-9,-3
2,7,17,9,11,2,0,-5
0,2,-2,1,-3,7,1,-3
-3,-4,6,13,-9,-5,-1,1
1,0,18,9,5,5,6,0
-3,0,-10,-10,-2,-5,-7,-4
1,3,22,6,-2,-4,-5,-2
0,-8,-24,-17,-7,-7,-5,0
0,5,11,6,3,1,3,0
0,4,4,8,6,3,2,0
2,5,-7,-3,12,13,6,1
-7,-21,-6,-16,-27,-18,-14,-1
-5,5,23,15,6,0,2,1
11,18,28,11,8,-2,2,-3
-7,-14,-35,-28,-5,-5,-4,-9
-21,-3,24,27,2,2,1,9
14,2,9,15,0,7,5,-1
-8,22,35,28,12,7,4,-10
-4,4,-53,-33,5,8,-4,-19
34,-1,23,4,-6,-1,8,31
2,5,8,50,16,2,-4,-24
2,9,4,7,21,16,8,1
0,3,-8,-12,-4,0,1,-3
-8,4,-25,-23,-1,6,3,-1
-8,-27,4,7,-32,-31,-15,-2
3,-6,-43,-19,5,-9,-11,-7
-9,-2,41,16,-1,-7,-4,-8
0,-12,-57,-38,-10,-5,-1,-1
0,10,36,13,5,7,-4,-2
-21,0,-34,-19,0,-1,2,-21
19,6,-19,-9,3,1,-10,19
-6,-6,-4,-14,-11,-5,6,-24
-7,-17,-4,-16,-5,-14,-13,-3
9,12,30,28,11,10,4,1
4,10,26,31,10,11,8,1
-10,-23,-24,-30,-30,-17,-8,-6
1,8,11,31,2,1,9,-2
-6,15,32,19,10,0,2,1
9,-18,-50,-16,-7,-12,-9,15
-4,4,-20,-19,-7,-2,12,-6
3,10,59,45,12,-1,5,7
3,22,7,9,15,5,-7,9
41,14,16,3,-3,-8,-22,-1
-39,-48,-62,-16,-4,-13,-1,-49
-4,4,27,0,-11,-1,-82,-16
1,-3,-30,-31,6,2,74,34
-19,-5,15,15,13,17,17,13
21,24,11,3,2,1,-54,-24
-43,-27,-12,15,-3,-7,27,-27
20,-17,-53,-46,-13,3,10,61
-59,-10,-27,-12,-7,-8,14,-49
13,27,-29,-61,-5,1,-6,-35
-30,2,44,38,23,-7,-55,-20
25,28,-39,-46,-2,21,127,52
25,-22,13,-12,-7,-12,-69,7
-51,-28,-31,-25,-7,2,27,23
-9,-56,50,45,11,10,1,-32
-28,24,1,-3,6,-15,-80,-17
-30,-36,-21,2,-4,8,82,-7
27,-3,28,11,-2,16,43,70
24,-2,-19,-7,-4,-8,-33,22
-16,-126,-46,-39,5,-17,-59,-23
6,-11,21,-13,-6,3,30,28
-2,32,8,15,-5,5,-5,-7
-3,13,-14,-34,-9,4,-2,-2
9,19,40,56,28,17,12,4
-14,-13,1,10,-7,-15,-2,-4
-10,-36,-53,-30,-1,3,0,2
1,2,0,-10,-13,-12,-3,-4
6,8,5,2,6,7,4,-4
-5,2,20,15,-10,-3,-2,-5
-17,1,28,16,-3,-9,17,21
22,17,-25,-11,-9,-6,-11,-9
3,11,38,50,36,19,11,-4
2,13,48,25,3,11,19,11
-10,-50,57,43,14,10,27,12
16,36,-15,-46,-8,-18,-75,-37
24,54,-10,12,-18,-24,39,43
19,87,-3,-2,28,30,7,-6
-13,-74,73,-19,38,42,9,4
-10,68,-22,-2,-5,1,12,0
12,57,35,44,4,-11,-19,-5
-7,-54,-15,-11,-11,-11,-16,-15
-31,-26,-27,-5,-7,-11,7,-44
-10,-27,-18,-2,-5,-20,-55,-27
-5,-19,3,-3,-5,-1,9,-2
-11,-20,-27,-20,-7,-5,-15,-13
-15,-14,-17,-12,-2,4,16,-7
17,-15,8,19,-1,-17,-24,33
24,-5,-14,-36,-6,2,9,20
-9,3,10,6,0,4,-20,-8
-5,-8,-10,-8,-2,1,1,-2
-10,1,11,2,0,5,6,-5
14,21,-27,-22,-2,2,-30,2
-10,-30,-4,26,-11,-24,-43,-45
-4,2,5,0,0,-1,28,19
-5,-4,-7,-5,-17,5,12,-1
-11,1,12,3,4,0,-12,-11
-7,-10,-10,-24,-10,-1,-8,-8
15,75,1,2,-5,4,-12,-21
-3,2,-39,-45,-17,-17,-24,-2
7,6,-10,5,1,-3,27,1
21,13,9,8,1,1,-7,4
-7,-3,13,10,6,10,3,5
-2,-10,8,9,3,1,10,-6
13,57,24,13,-2,3,-5,32
-45,-63,-48,-41,-26,-19,-21,-83
20,0,-3,4,9,12,62,24
-16,-53,24,8,4,-4,-48,-2
7,34,-2,18,9,0,4,-6
-3,-10,-20,-36,-20,-5,10,0
2,0,5,6,8,4,5,11
-15,-19,-13,6,-10,-8,-17,-17
1,17,32,17,2,2,-5,-8
-15,-26,-43,-22,-11,-2,-9,-10
-7,-47,-26,-28,-9,-7,5,24
-7,-16,31,4,2,10,5,-7
-2,10,2,3,3,3,-9,2
17,8,6,4,-1,0,23,27
5,12,-34,-41,-13,-4,-4,-10
-8,-11,0,11,-1,-4,2,-5
11,16,-5,4,14,17,21,21
20,-27,-25,-24,-12,-5,10,22
-10,13,2,2,9,1,3,-2
-4,1,-2,-3,8,10,9,1
-18,-107,63,33,22,18,4,-2
-17,-36,-44,-33,-20,-26,2,31
5,19,-9,2,1,2,1,-2
-4,0,12,5,0,-5,-7,-9
-7,11,40,10,5,11,13,4
-6,-5,4,8,-3,-1,-5,-3
2,4,-6,-12,1,4,5,7
-5,-6,-8,-14,-2,-2,-2,-7
13,-8,2,-2,-13,-16,-18,-8
-20,-53,37,15,10,7,4,10
-3,2,-3,-21,-15,-10,-8,-7
-3,-10,-33,-7,-9,-10,-7,-2
1,4,-3,-11,12,18,1,1
-16,-16,26,22,8,4,7,-2
-16,-16,-14,-13,-13,-6,-4,-26
8,18,16,14,12,-2,-7,1
-1,1,-6,-5,-5,-1,6,0
0,-3,-5,-2,4,8,8,1
6,46,10,4,10,4,-4,2
-10,-9,-17,-16,-5,-2,14,-6
46,-5,-21,-18,-9,-17,-10,24
-4,4,4,6,-2,-5,-14,-18
-12,-5,-11,-14,-11,-4,47,23
-9,-11,-4,1,1,-3,-21,-7
-8,4,3,0,0,5,-4,-9
12,25,26,20,13,2,-8,25
16,-8,-6,-7,-8,1,14,0
-21,-51,-35,-23,-8,-6,-3,-18
-4,26,-17,-23,-8,-11,-11,-6
-5,-16,-43,-16,1,2,-2,-6
3,2,2,-6,-7,6,3,4
3,-1,4,9,-3,-3,0,-1
0,11,2,-3,5,0,3,-4
-2,-2,-6,1,-1,1,0,-1
-1,-5,4,6,-5,-6,-1,0
-4,-3,-3,-9,-9,-9,-8,-3
1,5,5,10,13,4,1,-3
-5,-11,-6,-7,-6,3,0,-1
4,-7,-8,-12,-11,-6,0,2
1,3,4,9,8,7,2,-5
0,2,0,-6,-10,-6,-2,-3
-8,-6,-12,-12,-12,-2,1,-4
0,-8,-7,-1,-1,-3,-4,-1
-2,0,-2,-9,-4,-7,-9,-5
-5,0,-6,-8,-5,-7,-4,-7
0,3,3,15,15,7,8,7
0,0,-4,-6,-8,-7,-1,2
-1,1,-2,-6,-6,0,0,-3
0,1,-1,-2,-13,-4,-4,-1
-2,-3,0,4,6,3,-4,1
-1,-3,6,5,2,2,1,1
-1,2,4,1,-2,-10,-5,-4
0,1,1,3,9,13,1,-1
-1,-2,-5,-8,-11,-3,1,0
0,-2,-3,1,-3,-4,-4,3
-2,-2,3,-2,-6,-9,-3,0
-2,1,0,-4,2,-2,-1,-4
-1,0,1,3,5,8,1,2
-1,-9,-2,0,-7,-3,-4,0
-3,0,0,0,-3,-1,-3,-7
-1,1,0,0,3,1,-2,-2
-1,-5,-2,-2,-2,-2,2,0
-5,-2,-5,2,7,0,-4,-1
1,-2,-4,-1,-3,-1,2,1
-6,5,4,3,1,-5,-2,-5
-1,-1,-3,2,1,6,3,2
2,-3,-1,-7,-15,-9,-2,3
0,0,-4,2,-3,-6,-6,-6
0,-3,-2,-3,2,6,3,3
3,-5,-1,-1,2,-1,-4,-3
-4,-6,-5,0,-8,-6,-4,-6
1,1,0,-3,-6,-8,-3,1
-3,2,0,1,13,6,3,-2
0,0,-3,-5,-5,-1,1,0
0,-2,-1,0,-4,-2,1,0
-1,1,1,-2,1,3,3,0
-2,1,-1,0,-4,-3,-5,-5
1,-1,0,1,0,1,1,0
-2,-7,-4,1,1,4,2,2
-1,0,0,-6,-7,-4,-2,-1
1,2,-2,-2,2,-3,-3,-3
1,-4,-3,-2,-5,-1,-1,1
-3,-1,-3,-1,-3,1,2,2
1,1,-1,-1,2,1,-1,-2
-3,3,-1,0,-1,2,-2,-3
-4,-1,-2,-2,-5,-4,-1,-6
0,-6,-2,1,0,-1,2,1
2,2,-2,1,5,0,0,0
0,0,1,-2,-2,-2,-1,-2
-2,-4,-4,-2,-8,-2,1,-2
0,-5,-5,-4,-3,1,-1,-3
2,1,0,0,3,-3,-4,3
0,2,-2,-12,-6,-1,0,-3
-2,-3,-2,-1,0,2,-1,0
0,-3,1,5,-1,-3,-1,-1
-1,-1,-1,0,4,1,-1,-2
-1,3,1,-3,-1,1,0,-2
1,-2,-1,-2,-4,-3,-1,0
1,-1,-3,4,-2,-3,-1,-1
-4,-1,0,-1,-1,-3,-3,-1
-1,2,2,0,0,-5,-7,-5
-1,1,-4,2,2,2,3,-1
-1,-4,-1,0,-3,-1,0,-5
-1,4,1,3,2,1,-1,-3
1,1,-1,-4,-3,-4,1,-4
3,-1,0,-2,-5,-3,-3,2
-3,-5,-3,0,-1,9,3,5
2,-3,0,-3,-4,-5,-2,-4
-3,-1,-1,3,0,1,-2,-3
2,2,0,-1,-4,-1,-3,0
0,-4,-2,-4,0,-1,-1,2
-4,2,2,-1,-1,0,0,0
1,2,5,0,-2,-3,-6,-7
0,1,-2,0,-4,-3,-5,0
0,-5,1,2,0,1,2,3
0,1,-1,0,3,-1,-3,-3
-2,-1,-3,-6,4,3,0,-6
1,1,0,5,-2,0,0,0
2,0,-3,0,0,-1,1,5
0,1,1,-1,0,2,2,-3
-1,-1,-2,-1,5,0,-4,0
3,-1,-3,1,-7,-6,-2,2
-2,-2,-2,0,5,4,2,1
0,0,1,1,2,3,0,1
-2,3,0,0,-7,-1,-3,-3
-1,-3,-6,-3,-8,-5,-4,-3
1,-2,-2,4,6,3,5,1
0,-1,-5,1,4,3,1,2
1,5,0,1,1,2,2,-2
-1,-10,-6,-11,-4,-4,-1,2
3,-2,-4,-2,-6,-7,-4,-3
1,0,4,4,-3,-2,-2,-6
-2,-2,-5,-5,0,-2,-5,-1
-4,-7,-5,-4,-4,-2,-1,-2
0,0,1,3,-2,-2,-4,2
-2,0,-9,-10,2,3,2,0
-1,-2,1,-4,6,4,1,2
3,0,0,-4,-6,-2,-2,-1
0,-3,0,1,0,1,0,2
-2,-2,-1,0,-2,-4,-4,-2
1,3,-1,-2,0,0,-1,-2
0,-3,-4,0,-5,-4,0,-1
-3,-3,2,3,4,5,1,1
-1,4,0,1,8,4,6,0
-3,-2,-3,-2,-2,0,2,-2
1,-3,0,1,-6,-5,-1,-2
-3,-3,0,-2,-5,-4,-5,-1
1,-3,2,-5,6,4,1,-4
1,3,4,6,2,4,0,-1
0,-5,-2,-1,0,7,5,3
0,-1,-2,-3,-4,-6,-1,0
1,-1,1,-5,2,-1,0,-2
-1,2,0,-4,-2,-6,-4,-7
-4,0,-7,-9,-5,-4,-5,1
-5,0,0,4,3,9,3,-1
0,0,1,-1,4,-3,-1,1
3,2,-2,-1,-4,-2,0,-4
-1,-4,-4,-3,-3,2,-2,-2
0,-5,-1,-6,-5,-5,-2,1
0,3,1,3,8,4,0,-1
-2,0,1,-3,1,3,1,2
0,-3,1,1,-5,-3,-3,0
-3,-2,-5,-7,-2,-5,-3,-3
2,-2,1,-2,0,-5,0,-1
1,2,2,4,4,1,-1,-1
0,-5,-4,0,-3,0,-1,4
0,-3,-3,-2,-1,0,-2,1
4,0,-5,-5,6,-3,-3,0
-1,0,0,1,-2,-2,-3,-3
-1,-4,0,-1,-3,-2,-4,-2
-1,-4,-1,2,0,-3,2,4
-5,-1,0,6,7,3,0,-1
-2,0,-4,-3,-1,4,-1,0
-4,-5,1,-2,-1,-4,-4,-1
0,-3,0,-2,-4,-4,-3,-1
-3,-2,1,2,1,0,0,-1
2,-2,-5,-4,-1,-4,-3,-5
-4,-3,1,4,-1,1,1,2
4,-3,-1,-2,0,3,7,3
-2,-2,1,2,5,4,0,0
1,4,-1,-7,-7,-7,-2,-5
-1,-3,-2,5,-3,-1,-2,1
0,0,-5,3,-1,0,-2,-1
-4,3,0,-2,3,-2,-1,-2
0,-1,1,-1,-1,-1,0,-1
-4,-1,-3,-2,-5,1,0,-1
-4,-1,-2,5,6,3,-1,3
-1,-2,-4,-1,-3,1,-2,0
-1,1,0,0,1,3,-2,-6
1,-4,-4,0,-6,-4,0,-1
-2,0,-1,-3,-7,-4,-1,-1
1,5,0,2,2,0,-3,-2
-4,1,2,4,5,7,3,0
4,-4,-3,-3,-6,-6,-1,1
-3,1,-5,-2,0,-5,-1,-3
0,3,0,-4,1,0,-1,-3
0,0,-1,-5,1,-6,-1,-4
-2,1,1,-2,-6,-3,0,-1
-2,-3,-1,-1,-1,-1,-3,0
2,-4,-5,-9,-2,0,-1,-1
1,2,3,0,1,-2,-1,-3
0,-3,-1,-1,-2,1,-3,0
1,-2,1,-2,-2,0,1,-1
-1,-2,-4,1,1,3,2,-3
-1,3,-11,0,-2,1,-2,-3
-1,-3,-2,-4,-4,-6,-1,-1
2,-2,0,1,5,2,0,0
-3,-1,1,-2,1,0,0,-4
-1,0,0,-4,-1,4,0,0
-1,-8,-1,2,-6,-5,-3,3
-1,-1,-3,-2,-1,-3,0,0
-1,1,-2,0,-1,-4,-1,-3
0,0,-3,1,-3,-3,-3,-5
-2,-4,-3,-6,-7,0,4,0
-1,-1,7,2,-2,-2,2,-1
1,2,0,-1,3,0,-2,0
-2,1,-3,-10,1,3,-1,-1
0,-5,-1,-1,-2,-2,0,0
2,-3,-1,-4,-7,-3,-1,0
-2,2,0,1,-2,2,1,-5
-1,1,0,1,-4,1,2,-1
-1,-3,1,3,0,-2,-1,-3
2,-1,-2,-1,2,1,0,-1
1,1,0,-5,1,-3,-4,3
-4,3,1,-1,4,-1,-4,-3
-5,-1,-4,-2,-12,11,-5,-1
1,-3,-3,-1,5,25,15,4
-1,-5,1,0,1,-1,3,4
-1,-2,-2,-1,0,-15,-13,-3
0,-5,-4,1,-5,-7,-6,-2
2,0,0,-9,-4,1,1,1
0,2,1,1,5,0,1,-5
2,0,-1,4,1,0,0,0
2,-4,-1,-3,1,-1,2,1
0,-3,-4,2,-1,-3,-1,0
-3,1,0,-1,-2,0,-4,-5
-3,1,1,-5,-1,0,2,-3
-1,-2,-4,-2,-2,-3,1,4
0,0,3,2,2,1,-2,-1
1,2,1,-3,4,-1,0,-6
-2,2,-2,-3,-3,-5,-3,-3
-1,-5,-2,0,-5,-5,-1,2
1,1,-1,0,2,2,-1,-3
3,0,-1,0,-1,1,-2,-4
0,2,0,-5,-1,-3,-4,-2
1,-2,1,4,-4,-2,2,2
0,-2,-3,-8,-7,-2,1,0
-3,2,2,0,-1,-2,2,-1
-1,-4,0,-4,1,-5,-1,-1
-2,-2,-1,4,-2,1,0,0
0,0,0,-2,0,-1,-2,0
3,2,0,3,2,-5,0,-7
2,-1,-2,3,7,8,4,1
-1,-2,-3,-2,-11,-5,-5,2
-3,1,-3,-3,-1,-2,-2,-5
-7,-3,-3,-7,-2,-1,-8,-8
2,-4,1,-1,1,2,1,2
0,1,-3,-2,-4,-4,-2,0
-1,-3,0,2,0,2,4,1
-2,4,1,2,4,3,2,-4
-4,2,-1,-4,1,-2,-2,4
-1,-6,1,3,0,5,3,0
-2,-5,-4,-9,-6,-3,0,-5
0,0,2,-4,2,-2,-2,-3
-3,0,-5,-10,-8,-4,0,-4
-1,-6,-6,2,5,-1,-1,2
-2,-3,0,1,2,1,-1,2
-5,2,3,2,6,1,-4,-4
-2,2,1,0,-5,-1,-1,-4
2,-3,-3,-3,-8,-2,-3,2
1,-2,0,-1,-3,-3,2,2
-1,-1,-2,-3,-1,-7,4,-4
-6,0,2,9,18,10,1,4
1,-3,-1,0,-6,-4,-3,1
0,2,-2,-4,-5,-2,3,-5
-2,3,1,-5,7,6,0,-1
-1,-6,-3,0,-10,-5,-3,-2
-2,0,-2,2,2,-2,0,-1
-2,2,-2,-4,0,2,3,-2
1,5,4,5,12,1,-1,-8
-3,-3,-3,8,9,11,0,-1
5,-1,1,-2,5,2,-3,2
1,0,-2,-5,-6,-3,1,4
-6,3,-2,4,11,4,3,-6
-1,-2,0,-4,-10,-9,-7,-5
1,-4,2,2,9,1,-1,1
0,-12,-31,2,-3,0,-1,-2
0,5,2,-4,2,2,1,-2
-4,-3,0,-3,-7,-8,-4,-4
0,1,-2,0,5,5,2,0
-2,-4,3,2,2,0,-2,0
-3,1,-2,-3,-3,-4,-5,-3
-2,5,2,8,3,4,-1,0
-3,-15,-7,-3,-6,-12,-3,2
1,0,0,-3,1,5,-4,-1
4,5,3,8,4,8,1,-5
1,5,7,-6,-7,-2,-2,-3
0,-5,-6,1,-5,-9,-3,1
-4,-10,4,5,11,1,-1,0
0,16,12,-10,-3,-10,-4,-4
-7,-29,-31,3,-2,0,-1,-3
1,7,8,6,15,16,12,5
2,-2,-15,-11,-12,-8,-9,0
1,4,0,-7,-9,-6,-3,-4
-1,4,11,12,17,9,4,0
2,-7,4,-4,-11,-3,0,2
-2,-3,-13,-13,-9,-10,-4,-3
-5,-1,-5,-7,-3,-6,-2,-8
1,3,-1,5,4,8,-1,-1
1,0,11,10,-6,-2,-4,1
-1,-1,-2,4,-3,-3,1,-1
1,2,2,-6,-4,-5,-2,-6
-2,-1,1,-2,-4,-2,-2,-1
-1,-6,1,4,-5,-4,-1,-5
3,1,-6,-7,0,-2,1,0
3,5,-2,4,4,1,3,-1
0,-1,-4,-3,2,2,-1,-1
0,-4,-5,-1,-7,0,-1,1
-3,-1,-1,-1,5,0,-2,-1
-3,-1,-1,0,-7,-2,0,-1
-2,-2,0,-5,-12,-7,-3,2
0,-1,-10,0,-2,4,2,-3
-2,-3,8,16,-3,-10,-3,-1
-1,-5,-14,-34,-8,2,-1,0
-2,1,10,1,-5,-3,-5,0
4,1,3,11,5,6,3,1
4,2,5,6,-1,0,-2,-6
0,8,13,6,0,-3,-3,-4
-4,-7,-10,-6,-2,-5,-3,-2
0,-5,-4,4,0,2,1,2
-2,0,1,0,2,0,0,2
0,2,-5,-1,-1,-6,-3,-1
0,5,4,-5,-2,-3,-2,-1
6,-2,0,-3,-4,-1,5,-2
1,-1,-6,-2,-2,-8,-7,6
4,9,9,12,6,5,8,-4
-14,0,4,1,4,6,-9,-14
15,-16,-12,-2,0,-3,-3,26
6,5,10,-1,-4,4,7,0
-9,0,3,2,-2,-6,-1,-7
-5,0,5,6,-1,0,3,-3
2,-4,-5,-3,-7,-4,-4,0
-6,-5,4,3,8,7,4,-1
7,3,2,5,1,3,1,-9
-9,1,2,-18,-13,-9,1,16
18,-2,-2,4,0,-2,2,-3
-2,0,-6,-5,3,-5,-3,-4
-2,8,2,-4,-1,0,-1,-9
14,2,29,27,8,11,3,1
-6,-5,-19,-16,-1,1,3,15
-2,-5,-3,-4,-6,-3,-8,-6
13,6,15,14,8,1,3,7
-39,-3,17,7,2,3,1,-4
11,-3,-7,5,0,-8,3,-7
7,-4,15,3,5,4,-1,6
-5,-4,-14,20,2,4,1,-3
-1,2,-18,-22,-3,0,6,0
-2,-2,-5,8,3,-4,2,5
0,1,14,6,9,13,10,4
-1,1,-2,-2,2,-2,-3,-7
-1,2,4,4,3,3,0,-5
-4,1,4,1,-6,-5,-3,-1
-1,4,-1,-5,2,4,2,0
-2,0,-5,-4,0,1,-5,-8
-14,-8,5,-4,-14,-7,3,18
-4,-10,-20,-15,-5,-9,0,-6
5,8,16,9,3,6,4,7
-12,-4,0,10,4,0,-3,-10
-18,-2,-10,-31,-5,-1,-3,-10
23,14,33,36,7,5,4,25
-9,-23,-84,-61,-27,-15,-3,-21
5,-3,1,-11,-9,-8,-12,-23
-3,0,20,31,7,-3,0,10
-17,-2,-3,-15,0,6,7,-2
28,1,-33,-29,-5,-4,-4,-3
-25,-16,9,-11,-21,-13,-10,-15
11,-3,-26,1,-4,-6,3,17
-3,10,7,-6,5,7,-3,5
26,5,-6,4,-2,2,-38,-3
-39,-12,-63,-22,-1,-5,36,-31
16,21,41,45,8,23,12,-19
73,14,-16,-20,2,-11,-82,-35
-10,-24,16,-17,-24,-28,57,75
-41,-128,37,29,30,37,56,-23
20,56,-9,-7,-9,-21,-51,10
8,35,21,3,12,22,119,72
80,56,-28,-21,-15,2,-11,2
-57,17,-13,23,2,-10,-110,-47
6,41,36,-29,2,9,45,13
-38,55,12,50,18,11,-37,-46
28,-1,-64,-16,-8,-8,79,31
-11,-20,91,36,13,14,-14,-31
-24,5,-67,-69,-34,-30,-58,-37
7,33,18,13,8,3,-8,-1
